Q3,Q4,Q5,Q6,Q7,Q8,Q16,Q40,Q37
Four Year Private College/University,Bachelor's,"Minority-Serving Institution,Urban Institution,Women's College",1,200 or more,I have never taught online or in a blended format previously.,1-2 weeks,NA,"Keep the videos short, keep extra example outside of the videos (having one in the lecture is fine but no more).
Instead of an hour long lecture, break it into 10-15 minute videos with side examples so the students don't get overwhelmed and so you don't get overwhelmed they get easily digestible videos and you don't put out an hour long editing nightmare."
Four Year Private College/University,Ph.D.,Urban Institution,1,101-200,I have never taught online or in a blended format previously.,3-4 weeks,NA,"It was very time consuming.
I believe it is the same difference as movies/TV/youtube is to live theater.
It provided a good tool for student learning."
Four Year Public College/University,Ph.D.,Hispanic-Serving Institution,3,200 or more,I have never taught online or in a blended format previously.,0-2 days,NA,Horrible experience. I am seriously considering a career change.
Four Year Public College/University,Ph.D.,Urban Institution,1,101-200,I have never taught online or in a blended format previously.,3-4 weeks,NA,"1 needed new equipment paid for  by me
had to learn to use new equipment
internet at my house is problematic  often requiring me to use phone as hot spot"
Four Year Public College/University,Ph.D.,Rural Institution,1,21-35,I have never taught online or in a blended format previously.,3-4 days,NA,"I was familiar with Zoom from video conferencing and everyone was encouraged to use the software for remote instruction. I already used Canvas for assignments and grading, so I just increased its use for the online class. I learned some new features of Zoom, like screen annotations, breakout rooms, polling, yes/no buttons, chat, recording, and sharing YouTube videos that I integrated into classes. I already taught by annotating powerpoint slides on a tablet, so it wasn't too big of a change to use Zoom. The biggest challenge was the lack of audience feedback, so I used the yes/no buttons to ask if people understood tough concepts and used breakout rooms to drop in on 2-3 students at a time when I assigned group practice problems so that I could get some conversational feedback."
Four Year Public College/University,Master's,Rural Institution,3,36-50,"I have taught fully online previously.,I have taught in a blended online/in-person format previously.",1-2 weeks,NA,Although I have taught online before I find it far inferior to a face-to-face class.  I would not have continued if not for the pandemic.  Now I will have to teach the entire fall semester online.  I am less inclined to seek fancy tools or an LMS and more concerned about making connections to students.
Four Year Public College/University,Ph.D.,Urban Institution,1,21-35,I have taught fully online previously.,0-2 days,NA,"Teaching online is helpful, and I am planning to incorporate it more. The problem is the lack of proper assessment tools - the students cheat. Pass/fail option allowed students with marginal/zero knowledge to pass my class, which normally would nor happen. Online teaching was not an issue - these students had poor performance before switching to online teaching."
Four Year Private College/University,Ph.D.,Urban Institution,1,21-35,I have never taught online or in a blended format previously.,1-2 weeks,NA,"My online class was the advanced physics laboratory.  A large point of the class is learning how to operate an experiment to obtain reasonable data that can be analyzed.  That is 50% of the class, the rest is report writing. The closure of campus was late enough that all the students had the data for two of the three experiments they normally do during the semester.  They had an option to do a third experiment with an informal report, or turn one of the two into a formal report (for example, to submit to a journal).  The oral report component of the class was eliminated.  

My experience suggests that this course cannot be offered without access to the campus and the laboratory. We were fortunate that most of the hands-on work had been completed at the closure.  If something on line were offered, it would be a different course.  There is no way around that."
Four Year Public College/University,Ph.D.,NA,1,101-200,I have never taught online or in a blended format previously.,1-2 weeks,NA,"My transition to teaching online took a very simple approach: Do on Zoom and with a webcam what I was doing in person on the board. I found that this worked to some extent and was not a disaster, but in the future I will find more ways to communicate with the students to get them engaged, and to vary the pace and delivery. It seems to me that this is both more important than when teaching in person, and easier to do than expected."
Four Year Public College/University,Ph.D.,Rural Institution,2,200 or more,I have never taught online or in a blended format previously.,5-6 days,NA,"In Large-enrollment courses (150+) with a single instructor (and maybe 2 LAs) it becomes difficult to assess students.  Without additional instructor capacity, hand-grading of assignments to give feedback to students becomes unreasonable, and no good resource exists to ensure that students aren't accessing things like Chegg during online exams (additionally, since students weren't submitting things like this before the transition, it didn't seem fair to switch how they were being assessed in the middle of the semester).  Things like the lockdown browser only go so far, and requirements that students have a webcam so they can be ""remotely proctored"" have huge equity concerns given the rushed nature of this, and even for the upcoming fall (have you SEEN the price of webcams lately?  They're sold out everywhere)."
