Q37
"We are interested in how your experiences in Fall 2020 differed from the Spring of 2020 with teaching your physics class online. Feel free to describe anything you learned for Fall 2020 about transitioning the class, any lessons you have learned and anything you think we should understand."
I had to work harder on making social connections with students.
"I usually teach face-to-face SCALE-UP.  So one of my primary goals was to have students do as many (virtual) lab exercises as possible.  So I adopted iOLab, Pivot Interactives and PhET simulations.  I'll bring a lot of that back to my face-to-face classrooms to supplement the labs I usually do.  I also broke my 63-student class into quarters and had each quarter work with a single one of my assistant instructors (three graduate TA's and one undergraduate learning assistant) for the entire semester in an attempt to build relationships between students and assistant instructors.  I will also bring that strategy back into my face-to-face classroom."
Our institution pivoted to 100% online in one week in March 2020.  I was very impressed with my colleagues and learned a lot from them.  I used what I learned in the spring semester to comfortably teach online in the fall.
"I could plan ahead for online teaching, so I could address the shortcomings of this teaching mode by shifting learning modes and expectations. "
Students need time to interact with each other. The more you get out of the way the better. It needs to be forced at least in the beginning.
"In face to face teaching, my course used active learning where students would work together, in fairly close proximity to solve and present problems (so that they could explain their work to their peers).  Inevitably in face-to-face there would be cross-talk between student groups at the same table.  In teaching online I used Zoom breakout rooms which are completely separate, which killed all of that useful eavesdropping.  Student engagement was uneven to say the least, some students just wouldn't interact or unmute, and it was impossible for me as the instructor to assist unless groups asked for help.  Some groups wouldn't work together at all, and left before the end of class or completing the in-class work.  For substituting for their in class presentations, each group had to film a video of them going through their solution, which was a ton more grading.  There was a lab component for this course which was done with iOlab devices augmented with some simulations.  I made that asynchronous and every single issue of using computer data acquisition that we would have had in class, we had with individuals.  Comparing learning gains from a year ago (100% face-to-face) to this fall (100% virtual) showed a decrease in learning gains, though not a huge margin.  This might have been easier with a far smaller class, even though I had the assistance of 3 TAs and an LA, there were still 13 groups of 4-5 students."
"Most of my teaching strategies were gauged for in-person and real-time feedback about student learning, mainly through in-class questions with Learning Catalytics. In the COVID-19 times, asynchronous learning must always be an option. That shifted much of my strategy and only about 1/3 to 1/2 of the class was interested in engaging synchronously with the course material."
"My class is an active learning, group work based class - there are no lectures. Instructors and undergrad learning assistants work with small groups on activities followed by entire class discussions. We moved the in person version of this online using Zoom and break out rooms. We mostly kept the same activities and content, but overall went slower and had to cut here and there.

1) We observed far more heterogeneity of student situations and ability to participate effectively. 
2) Our students are missing technology that could help greatly with online synchronous group work - tablet + stylus gear. The students with that gear seemed to participate much better.
3) Our final exam scores for both spring and fall did NOT correlate as expected with semester performance or other grades. The value of the exams was questionable.
4) While we assigned regular grades, I wonder what they mean compared to usual. I don't think they carry the meaning the usually do.
5) Everything online was slower than in person - more friction. All progress was slower. 
6) Lab components were very difficult to implement online.
7) While student attendance was high, participation was much lower than usual. "
"I applied many of the things we as a department learned from Spring 2020 to my fall 2020 courses. We were able to leverage a large number of things and shared new ideas amongst those of us teaching the same courses. When one of us would learn how to do something new, we shared it with others in the department."
"In the Fall I was teaching an introductory lab-based course that is normally taught ""studio-style.""  There was a huge adjustment trying to encourage active learning via Zoom."
We already had a premade video of the labs to be used. We also offered an online only version of the lab however much improvement is needed for that. I believe we need to provide students the necessary materials to do a lab at home and also give better instructions that are more clear. 
"I taught several introductory physics mechanics labs online in the fall.  The biggest problem I found was that several students obviously doctored their results to match expectations.  I don't know a good way to stop such cheating, or what to do about it when I suspect it.   "
"Instead of exams, I either have group projects or have the students make YouTube videos explaining solutions to problems, derivations or concepts to peers at other institutions. It works better to gauge understanding if they can explain solutions rather than writing them down in a timed format."
"Spring 2020 was spent in triage mode - trying out small variations till something worked reasonably well. Since then, Zoom has added features, and I have had the opportunity to learn from others how to engage students better. While most of the students were very happy with the level of engagement in Fall 2020, it still remains a challenge for some. It is hard to figure out how to modify in-class activities without spending excessive time on everything associated with running - everyone is tired of the excess amount of time everything takes. Finding the right balance between activities to check-in with students during synchronous sessions and having time for instruction without expecting them to spend excessive time to prep outside of class - findign this balance is the challenge most instructors face."
I had to rely totally on Zoom.
"* Note: After designing a fully online series I’ve came to the conclusion that almost everything on this list is just as relevant to your face-to-face (f2f) classes. I did not add a number of things, like backward design or the importance of metacognition, which I think would be considered already a best practice in f2f classes. If I added something like that here, I tried to highlight what about that practice is implemented different or more important in the online setting. 



Effective Practices

1.	Flexibility
a.	Due dates
i.	Not only an assignment here or there but even for systemic changes for individual students. A student may be in the field for multiple weeks, unable to engage at all, but when they return they can focus more intensely. 
b.	Engagement modes
i.	I cover this more in the section Multi-mode learning
c.	Assessment – Providing a number of ways to engage also means providing a number of ways to assess. Some students may be able to make synchronous group meetings or lectures while others are not. Allowing them the ability to engage and be assessed in multiple different modes ensures the flexibility required for distance learners.  
i.	Participation
ii.	Labs
iii.	Homework
iv.	Exam types
v.	Exam delivery methods
d.	Cheating – I didn’t know exactly where to put this but since increased flexibility can result in more opportunities to cheat, I put it here. 
i.	Most students are opportunistic cheaters, meaning they set out to cheat, they just found an opportunity to do so that is easy. Small policies and practices can go a long way to prevent the majority of students cheating. 
1.	Have students sign an honor code for every high/mid stakes event. Make them read it each time by planting a unique statement that must recall before signing. 
2.	Consider removing all high-stakes events. The reward has to outweigh the risk.
a.	It’s also much hard to systemically cheat many smaller events (quizzes or exams). 
3.	Consider using physical proctoring centers. This is the most secure but may create additional cost for the students and extra organizational work. 
4.	Consider online proctors like ProctorU. There is a gradient of security. On one end you have systems simply recoding their cams for you to watch later. On the other end the system completely takes over the student’s computer and there must be multiple cameras connected. A human may be watching live. These services can be just as costly as physical proctoring centers. 

2.	Multi-mode learning opportunities (maybe this belongs under flexibility)
a.	Synchronous – PER supports a number of models that all include some form of guided peer learning. Students work in groups with instructional staff available to guide the work and discussions. Studio physics is one example. This is more effective in real-time. I encourage departments to offer more real-time engagement opportunities as it is more efficient, more effective, and helps foster community. Students feel more supported when they can talk with their instructors and peers. These sessions should not be required and/or alternative asynchronous options should be available to students that can’t guarantee their schedule. 
i.	Many activities are well suited for a synchronous virtual classroom
1.	Studio-style problem solving sessions
2.	Group lab work
3.	Recitation-style smaller classroom sessions
4.	Real-time tutor support
b.	Asynchronous – Part of being flexible for students with non-traditional schedules means offering Asynchronous options and/or facets of your course. If these are alternatives to synchronous assignments/events they should provide as equivalent an experience as possible. 
i.	Some work can be better suited for asynchronous engagement 
1.	Homework – largely already implemented asynchronously
2.	Larger/longer projects
3.	Peer review of homework, lab reports/notebooks, exams, etc. 
4.	Reflective and meta-cognitive writing
c.	Blended/hybrid
i.	The benefits and best practices shared here can also be relevant to traditional students. I encourage replacing/supplementing some traditional learning time with online activities. Flipped classrooms where content delivery is moved online is one small example. Be careful not to simply add work. If you want engage students in an online activity, consider removing some other component. This could be removing a lecture to carve space for the new mode of work/collaboration. 
d.	Project-based
i.	Taking class online can create new opportunities such as longer/larger project-based activities. These tend to fit students who need asynchronous activities but it doesn’t only have to be asynchronous. There can be both synchronous and asynchronous aspects of the activity. It can be group/team based and those interactions can be in real-time or spread out of many days. It’s important to make both options available and try and form groups based on preferred engagement method. 

3.	Organization
a.	Clear roadmap – Without regular f2f meetings with peers and instructional staff, online students need everything to be more organized and clear. Distance learners tend to engage with class resources such as the syllabus more frequently. If the path to mastery is not laid out clearly, they have a harder time navigating the curriculum.  
i.	Calendar – centralized and integrated with learning platforms wherever possible. 
1.	Consider having one page (or calendar) with links to all assignments, study resources, and learning platforms. Organize by clear compartmentalized learning modules in a chronological order. Students tend to not draw boundaries based on content but rather by time. Even if you design to natural content breaks, present the outline to students along timeline breaks, like weekly or biweekly modules. 
ii.	Compartmentalized modules – It’s important to break the class into small digestible chunks that students can use to plan their time more carefully. Having multiple weeks where the topic is covered by many chapters in a traditional textbook, and one large homework due multiple weeks later, leaves more room for students to unknowingly fall behind. 
1.	Weekly or smaller is preferred. I find two or three modules a week to be ideal. 
b.	Use of a Learning Management System (LMS) – Most universities have a campus-wide LMS that students use in all their classes. Leverage this tool as it is where most students are used to basing their classes out of.
i.	Every assignment, from reading, to homework, to lab, to even exams, should be setup as an assignment with a due date, even if they don’t turn the work into the LMS. This puts everything in one calendar and students use that for alerts on what is due. It’s fine if they then upload it to some grading software or something else, just as long as it’s in the LMS calendar.  
c.	Centralized platform for all links
