,AnonID,Q37_x,Q37_y,scores,scores_i,scores_f,compound_i,compound_f,sentiment_change
6,1b84a83ec311572f7ed0444cdc10298389ddde08,"It was very time consuming.
I believe it is the same difference as movies/TV/youtube is to live theater.
It provided a good tool for student learning.",On line lectures with student groups has proved to be far more effective than anticipated.,"{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.5256}","{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.4404}","{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.5256}",0.4404,0.5256,0.08519999999999994
18,a50698a97d20fb6e0e4158355faf2366f937f523,"My transition to teaching online took a very simple approach: Do on Zoom and with a webcam what I was doing in person on the board. I found that this worked to some extent and was not a disaster, but in the future I will find more ways to communicate with the students to get them engaged, and to vary the pace and delivery. It seems to me that this is both more important than when teaching in person, and easier to do than expected.","In Fall 2020 I taught a much larger class than in Spring 2020. I learned that students appreciate opportunities to get involved in the class (a great tool was the classroom response system I used, Top Hat), and any opportunities I give them to feel a personal connection in the virtual classroom (synchronous teaching is very important). I also learned how much of a problem cheating is; many students consult online sources of information cheat without being fully aware that it is cheating.","{'neg': 0.139, 'neu': 0.712, 'pos': 0.149, 'compound': -0.0258}","{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.9008}","{'neg': 0.139, 'neu': 0.712, 'pos': 0.149, 'compound': -0.0258}",0.9008,-0.0258,-0.9266000000000001
33,ed3b0da502ea73e144a7e406dc95168311202678,"The places where I have excelled in the past center around student interaction and helping lead them in their learning.  These methods did not help me get the students to log in, or have better internet, or motivate them to do the things I was able to do with a good rapport.  I spent more time as a gate-keeper, and the skills of teaching took a back seat as I spent more and more time adjusting assignments and fighting with technology.  I feel students had a similar experience as the same effort on their part would less learning, as a larger percentage of time was spent on technology issues and not on the material itself.
","It was much smoother as we were able to go into the semester with a plan.  I made a plan that would allow a flow from hybrid (in person and online simultaneously) to online only at the drop of a hat.  Students did much better this semester I feel due to there being a class that everyone attended in some way, and there was a community building aspect.","{'neg': 0.033, 'neu': 0.892, 'pos': 0.075, 'compound': 0.4019}","{'neg': 0.041, 'neu': 0.841, 'pos': 0.118, 'compound': 0.8419}","{'neg': 0.033, 'neu': 0.892, 'pos': 0.075, 'compound': 0.4019}",0.8419,0.4019,-0.44
40,24fe6489988061ab596cfb601b4eb38d178f9484,Honestly I had seen it coming for about a month so started to make the changes.  The main challenge was the need for the student to have access to specialized computers and software to do their data reduction for the class.  Our CSR's had already been exploring VM's to let students reach the packages they needed from anywhere in the world. That took care of one aspect of the lab class.  The second part I totally had to modify.  The class required hands-on telescope time with our robotic research telescopes.  That kind of died with leaving school. For fall I'm looking at some modifications that could let the students have at least part of the experience.,"In some ways it was exactly the same.  I anticipated the events in March, so was already moving the class to a more remote instruction.  The same structure then worked well for after Thanksgiving when the students didn't come back.  The main difference was that students in Spring 2020 panicked.  I had a lot of incomplete since the students kind of took a holiday when in person classes were cancelled.  This didn't occur in the Fall 2020 class since the plan was in place from the beginning of the semester.","{'neg': 0.055, 'neu': 0.892, 'pos': 0.053, 'compound': -0.0516}","{'neg': 0.032, 'neu': 0.896, 'pos': 0.071, 'compound': 0.4033}","{'neg': 0.055, 'neu': 0.892, 'pos': 0.053, 'compound': -0.0516}",0.4033,-0.0516,-0.45489999999999997
41,65083f0fece21c69ff94a923ede566dfe6066d2d,"The transition wasn't that difficult since many of the resources were available online anyway (homework, turning in assignments, etc.). The main change was moving student contact time to Zoom and in-class discussions from small groups to Zoom breakout rooms.  The major challenge for both me and the students was the reduced face-to-face social contact. I also found that it took significantly more of my time to provide an effective online teaching/learning experience.",I had to work harder on making social connections with students.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.6715}","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.6715,0.0,-0.6715
43,308559b75266e303518cb8b0ede9bc9c6400cdba,"I have small children and a full research program.  I had no child care for 5 weeks and struggled to maintain 30-35 hours/week when I could work.  I knew I had to limit my class prep time, which was a factor in my pedagogical choices.  I think it also made me particularly sensitive to similar challenges my students faced.  I saw too much focus in many of my colleagues on maintaining standards and preventing cheating and not enough on having some human compassion because our students are going through a lot.  I am creeped out by Respondus.  Students did not sign up to be video taped, let alone for a prof to change policies and mandate that they be video taped in their own home.  I think it's one thing if they knew at the beginning of the semester, but it's not fair to do that to students mid-semester.  I think it's better to accept some level of cheating.","I had fewer students going through crises in Spring 2020.  In Fall 2020, 4/33 of my students and one of my TAs got COVID.  I had at least a partial daycare outage for about 1/3-1/2 of the time in Fall 2020.  Between mid-Aug - Thanksgiving, we had exactly two consecutive weeks when we had the same schedule in my family, due to holidays, quarantines, and child care outages.  Teaching was in triage mode.  In contrast, in Spring I had planned well and just had to adapt the plan.  The last month and a half of Spring 2020 was rough, but I at least started in a reasonable place.  I started Fall 2020 behind.  A lot of non-essentials got dropped.  I actually did better with technology in Spring 2020 because fully online is a lot easier than having to set up all of the technology to manage a hybrid classroom.  It also felt like Spring 2020 was more forgiving because we didn't expect it.  It felt like we should do better in Fall 2020, but I don't think I did.","{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.9791}","{'neg': 0.097, 'neu': 0.825, 'pos': 0.078, 'compound': -0.2484}","{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.9791}",-0.2484,0.9791,1.2275
45,87c52a51c48bfe78e14b99e2bf0941299f9f66d4,"There was a massive amount of cheating in the on-line class.   I think that both myself and my institution need to better address the question of cheating in unproctored on-line classes.    This experience gives me a very negative impression of the academic integrity of on-line classes, unless some serious attempt to proctor is done.","I used the respondus/webcam software for my quizzes in fall 2020, but not in spring 2020.   This was a HUGE improvement.  In the spring, there was a vast amount of cheating on the quizzes (judging from pre-spring-break to post-spring-break grades, with a huge jump in quiz grades after spring break when we went on-line).  In contrast, with the respondus/webcam software, the quiz scores were typical of normal semesters, leading me to conclude that there was far less cheating.","{'neg': 0.109, 'neu': 0.768, 'pos': 0.122, 'compound': 0.0514}","{'neg': 0.195, 'neu': 0.686, 'pos': 0.12, 'compound': -0.7017}","{'neg': 0.109, 'neu': 0.768, 'pos': 0.122, 'compound': 0.0514}",-0.7017,0.0514,0.7531
49,c8b4f6f733a1cb18e5bd5f2e1986930808bb1560,"The entire problem with a flipped class based approach is that the students don't have good skills to
attempt various things in an independent manner;  they actually need to be trained.","The only thing that differed is that the students seemed better prepared for participating via Zoom than
they did in the spring","{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.5859}","{'neg': 0.154, 'neu': 0.846, 'pos': 0.0, 'compound': -0.6256}","{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.5859}",-0.6256,0.5859,1.2115
52,79507469e8f2e06ba17f654852301275c39dbd5e,"I honestly think those that are having more difficulties with teaching online were using more antiquated teaching methods (lectures, textbooks, not leveraging LMS, etc.). We have been teaching with a fully hybrid flipped classroom for years where the only difference between a f2f and online class is whether you're physically there or not. All resources, homework, and support were available online before this hit. We even had our online, hybrid, and f2f students attending the same synchronous lectures, interacting in breakout groups in a mixed form. We've had the option to attend or not by creating asynchronous assignments for a couple years. Our vision, which we've been working towards for about 5 years, was to offer a completely al carte model where you pick this week if you're going to attend lecture, lab, or recitation in person or engage remotely. We form groups to maximize diversity across all chosen paths.  For our class the transition was fairly smooth. The one place it has been difficult, and we are failing our f2f (remote) students, is labs. We have physical labs for the online students but those kits are expensive and take time to prepare so we didn't go that route for our f2f students who moved to remote learning. They are using simulations and there is evidence that they are not working as well as the online students who are doing physical experiments.","* Note: After designing a fully online series I’ve came to the conclusion that almost everything on this list is just as relevant to your face-to-face (f2f) classes. I did not add a number of things, like backward design or the importance of metacognition, which I think would be considered already a best practice in f2f classes. If I added something like that here, I tried to highlight what about that practice is implemented different or more important in the online setting. 



Effective Practices

1.	Flexibility
a.	Due dates
i.	Not only an assignment here or there but even for systemic changes for individual students. A student may be in the field for multiple weeks, unable to engage at all, but when they return they can focus more intensely. 
b.	Engagement modes
i.	I cover this more in the section Multi-mode learning
c.	Assessment – Providing a number of ways to engage also means providing a number of ways to assess. Some students may be able to make synchronous group meetings or lectures while others are not. Allowing them the ability to engage and be assessed in multiple different modes ensures the flexibility required for distance learners.  
i.	Participation
ii.	Labs
iii.	Homework
iv.	Exam types
v.	Exam delivery methods
d.	Cheating – I didn’t know exactly where to put this but since increased flexibility can result in more opportunities to cheat, I put it here. 
i.	Most students are opportunistic cheaters, meaning they set out to cheat, they just found an opportunity to do so that is easy. Small policies and practices can go a long way to prevent the majority of students cheating. 
1.	Have students sign an honor code for every high/mid stakes event. Make them read it each time by planting a unique statement that must recall before signing. 
2.	Consider removing all high-stakes events. The reward has to outweigh the risk.
a.	It’s also much hard to systemically cheat many smaller events (quizzes or exams). 
3.	Consider using physical proctoring centers. This is the most secure but may create additional cost for the students and extra organizational work. 
4.	Consider online proctors like ProctorU. There is a gradient of security. On one end you have systems simply recoding their cams for you to watch later. On the other end the system completely takes over the student’s computer and there must be multiple cameras connected. A human may be watching live. These services can be just as costly as physical proctoring centers. 

2.	Multi-mode learning opportunities (maybe this belongs under flexibility)
a.	Synchronous – PER supports a number of models that all include some form of guided peer learning. Students work in groups with instructional staff available to guide the work and discussions. Studio physics is one example. This is more effective in real-time. I encourage departments to offer more real-time engagement opportunities as it is more efficient, more effective, and helps foster community. Students feel more supported when they can talk with their instructors and peers. These sessions should not be required and/or alternative asynchronous options should be available to students that can’t guarantee their schedule. 
i.	Many activities are well suited for a synchronous virtual classroom
1.	Studio-style problem solving sessions
2.	Group lab work
3.	Recitation-style smaller classroom sessions
4.	Real-time tutor support
b.	Asynchronous – Part of being flexible for students with non-traditional schedules means offering Asynchronous options and/or facets of your course. If these are alternatives to synchronous assignments/events they should provide as equivalent an experience as possible. 
i.	Some work can be better suited for asynchronous engagement 
1.	Homework – largely already implemented asynchronously
2.	Larger/longer projects
3.	Peer review of homework, lab reports/notebooks, exams, etc. 
4.	Reflective and meta-cognitive writing
c.	Blended/hybrid
i.	The benefits and best practices shared here can also be relevant to traditional students. I encourage replacing/supplementing some traditional learning time with online activities. Flipped classrooms where content delivery is moved online is one small example. Be careful not to simply add work. If you want engage students in an online activity, consider removing some other component. This could be removing a lecture to carve space for the new mode of work/collaboration. 
d.	Project-based
i.	Taking class online can create new opportunities such as longer/larger project-based activities. These tend to fit students who need asynchronous activities but it doesn’t only have to be asynchronous. There can be both synchronous and asynchronous aspects of the activity. It can be group/team based and those interactions can be in real-time or spread out of many days. It’s important to make both options available and try and form groups based on preferred engagement method. 

3.	Organization
a.	Clear roadmap – Without regular f2f meetings with peers and instructional staff, online students need everything to be more organized and clear. Distance learners tend to engage with class resources such as the syllabus more frequently. If the path to mastery is not laid out clearly, they have a harder time navigating the curriculum.  
i.	Calendar – centralized and integrated with learning platforms wherever possible. 
1.	Consider having one page (or calendar) with links to all assignments, study resources, and learning platforms. Organize by clear compartmentalized learning modules in a chronological order. Students tend to not draw boundaries based on content but rather by time. Even if you design to natural content breaks, present the outline to students along timeline breaks, like weekly or biweekly modules. 
ii.	Compartmentalized modules – It’s important to break the class into small digestible chunks that students can use to plan their time more carefully. Having multiple weeks where the topic is covered by many chapters in a traditional textbook, and one large homework due multiple weeks later, leaves more room for students to unknowingly fall behind. 
1.	Weekly or smaller is preferred. I find two or three modules a week to be ideal. 
b.	Use of a Learning Management System (LMS) – Most universities have a campus-wide LMS that students use in all their classes. Leverage this tool as it is where most students are used to basing their classes out of.
i.	Every assignment, from reading, to homework, to lab, to even exams, should be setup as an assignment with a due date, even if they don’t turn the work into the LMS. This puts everything in one calendar and students use that for alerts on what is due. It’s fine if they then upload it to some grading software or something else, just as long as it’s in the LMS calendar.  
c.	Centralized platform for all links
i.	Online classes usually require a host of specialized learning software, especially in STEM courses like physics. Examples include: LMS, grading software like Gradescope, clicker software, online textbooks, Zoom, OneNote, homework systems like Masteringphysics, Peer-review software like Peerceptive, Excel, Tracker, Pivot interactives,… and the list goes on and on. Make sure all of those are organized and findable from one central location, like the LMS. Students express overload when there are too many platforms but that frustration is highly mitigated if there is a central location of links. 
ii.	Be wary of specialized learning tools creep. It can be tempting to use the best piece of software for every little aspect and in the end students are engaging with 10+ programs.
1.	Consider the length of the course when deciding about what platforms to use. If it is a single class, creating a high barrier to entry may not be worth it. If it’s a year-long sequence, and the plethora of tools is worth it, it can be more acceptable to expect the extra time to learn all of the pieces in the system. 
d.	Proper training on each software platform – don’t assume that because your students are distance learners that they already “get” software and computers. Distance learners tend to span a wider range of age groups and a wider range of technical knowledge than traditional students.
i.	Syllabus quizzes that block new content until completed at the start of the term can be effect. Along with questions that encourage them to read the syllabus, they can have tasks that help teach them the learning tools that are to be used in the class. Examples include scavenger hunts for content, requirements to login and register software, and even test runs on things like uploading lab/homework/exam assignments. Expect to spend extra time on this step with online learners to ensure stress is decreased during the term. Students struggling to upload an assignment because of technical issues experience high levels of unnecessary stress.
ii.	You might also consider a small training on file directory structure and consistent file naming conventions.  
e.	Notetaking/organization software – with everything in digital format it is important to encourage students to adopt their preferred notetaking software. Examples include OneNote or Evernote. 
f.	Tablet – physics requires solving questions by hand, typically with pen and paper. When everything is turned in digitally that results in an additional step to make a digital copy. Using a tablet skips that step and ensures the writing is still active content (unlike a static flattened pdf).
i.	Couple the tablet with something like OneNote and your students (and you) will be more organized. Consider publishing your homework, lecture templates, and other resources all through one platform like OneNote. 

4.	Budgetary considerations
a.	Instructional staff support per person increases – a common preconception is that online classes are cheaper to deliver. In reality the number of students that can be properly supported online by one instructor is much less then in traditional f2f settings. One way to understand this is when one student asks a question in a live lecture, the answer informs potentially hundreds of students that had the same question. Online these interactions tend to be more one on one this takes a tremendous amount of human resources. OSU’s Ecampus for instance, a distance learning program ranked in the top ten nationally, suggests a budget of 2 to 1. Meaning if a full load for an instructor in a traditional f2f class is capped at 200 students, that number would be 100 for online courses.  
b.	Everything takes 30% longer – I made up that number but almost every online teacher laughs and fully agrees. Online learning is not a path to efficiency. 
c.	Lab kit costs – If your learning outcomes for lab include hands on activities that require purchasing a prepared lab kit, those costs can add up quickly. This is of concern for the already heavily financially burdened student base. I can also be a problem for the department if they have foot the bill upfront before the students make their purchase. There are companies that put kits together but they tend to have very high overhead costs. 
d.	Online proctoring – Can be effective to reduce cheating but also costs the students significant money, upwards of $45 per event. 
e.	Open Educational Resources (OER) – If all the engagement is already online, I suggest going one step further and using digital OER to cut costs. The publisher’s textbook is not as valuable as most think and the majority of students do not find the resource useful and end up Googling things anyways. Stop the cycle, go OER. Okay that was my unabashed plug for OER… just as relevant to f2f classes  

5.	Community
a.	Creating a vibrant inclusive community where everyone feels supported and owns their role is the most important aspect of any class. This becomes exceedingly challenging in the online environment. You have to get creative and approach the issue from a number of different directions. This is your biggest challenge!
b.	Learning Assistants (LAs) and TAs – It is best to have a multi-level support system for your class that leverages the strengths of the various members.
i.	LAs provide near peer that is unique to any other role in the team. Students feel far more comfortable asking questions they feel could be perceived as dumb or invalid to LAs than to TAs and instructors. LAs can manage the professional social media platform and help answer all those little questions that tend to fill an email box. They can also help in a number of other ways such as: fielding questions in synchronous/asynchronous events, holding study sessions, providing formative feedback on assignments, organizing and facilitating group learning, providing non-class-specific support like directing them to other university resources, and general community building. I can’t stress enough the importance of their role in any class. They are best return on investment you can find in my opinion. 
ii.	TAs typically know the physics better but are farther removed from the students. They are often grad students that never attended UG at that institution. As a consequence they may know less about the life of their students than the LAs. Use TAs as the first line of defense on supporting physics content.  
c.	Professional social media platform – a digital study room where students can come together to ask questions that LAs, TAs, instructors, and fellow students can collectively answer.
i.	This can be a message board service through an LMS but the functionality of such systems can be limited.
ii.	One suggestion is to use a platform more ideal for this type of engagement. Something that allows spontaneous real-time audio/video conferencing. Something with integrated digital whiteboards. Examples include Slack, Microsoft Teams, or Discord. 
1.	Check that your usage doesn’t violate FERPA. Discord is so open it is hard to maintain privacy. But it is a platform many students are already on… 
iii.	It’s important to differentiate this from other forms of communication. One suggestion is to use the social media platform for physics questions and questions about the working of the class. Things that everyone can help answer so that the burden isn’t only on the instructor. Leverage the community. Other questions about grades or administrative stuff should still be left to email so that there is a clear record and privacy is maintained. 
d.	Communication – Students need to know they are supported and the first step in that process is open and clear communication. When everything goes online you quickly learn the value of small f2f interactions. These can still occur in the online environment but they looks and feel different.
i.	Availability – your students need interaction with peers and instructional staff. You must make these human resources readily available.
1.	Clearly stated boundaries are important as they serve as guidelines for students. State when each member is available and the best mode to connect. Be careful of boundary creep where students expect too much of your time.  If you have to miss that time, make sure that is communicated to your students as soon as you know your absence. When possible give an alternative contact such as a TA or LA.
2.	Consider a contract that both you and your students agree too. An example is that from Monday through Friday you will respond to any question within 24 hours. You could go even further and expect that during that same time period students are expected to check their messages (email, Slack, message board).
ii.	Checking in your students – it’s important to check on your students at the very least once a week. Consider a traditional f2f class that meets 3 times a week. That 3 times a week you “check in” on your students. It may not be in practice a meaningful check in but it feels like one to the student, especially when there is formative assessment (like clicker questions) associated with class. 
iii.	More is better than less – error on the side of too many announcements or check ins. 
iv.	Fun videos telling them you’re thinking about them – you need to humanize yourself to your students. One way of doing this to send little videos showing the human side of your life. An example is to take a short ~1 min video with your phone while your digging in the garden and to tell the students you’re thinking about them and all the hard work they are doing on their upcoming report or assignment. 
v.	Tone – with a lot of communication moving to text and/or video, spend extra time ensuring the tone of your voice is welcoming and inclusive. Many students already fear their instructors and they may read what you write to mean something you never intended. 
e.	Group/team learning – There is a gradient of collaborative work with groups on one end and teams on the other. I won’t try and define what constitutes team-based learning from group-based but ways that they can be differentiated are analyzing the scope/time of the project, how many people are working together, whether there are formal roles, and whether the people have/will develop lasting relationships. 
i.	Synchronous
1.	Virtual breakout rooms (like in Zoom) can be used to allow collaboration like that in a Studio Physics classroom. 
a.	Getting students to talk and contribute can be the biggest difficulty. Defining roles, like someone dedicated to sharing their screen with the content everyone is working on visible, can help keep communication flowing. 
i.	Other roles can be defined and those can rotate through students. Scribe, equipment operator (like in a lab), presenter, skeptic, are examples of roles.
ii.	LA/TA support can really provide leadership in these sessions. 
b.	Most digital whiteboards allow exporting the work as an image. 
c.	Students should have at the very least a computer with a camera and microphone. 
2.	Clear session objectives – everyone needs to know goals and what product they are to be producing. 
ii.	Asynchronous
1.	Can be inefficient but provides the most flexibility
2.	Time delay between replies can be problematic
3.	Can be an advantage for longer/larger activities

6.	Lab goals
a.	Experimental design
b.	Data analysis
c.	Communication skills
i.	Collaborating on experiments can be difficult asynchronously
d.	Inquiry-based vs. prescribed labs
e.	Physical experiments vs. virtual experiments
f.	Project-based labs

7.	Accessibility 
a.	I like this being a main effective practices even though it could fit under flexibility because it highlights the importance. If someone decides to use UDL guidelines to make an online course they are likely to realize how their traditional class could be more accessible
b.	Universal design for learners (UDL)
","{'neg': 0.046, 'neu': 0.8, 'pos': 0.153, 'compound': 0.9999}","{'neg': 0.04, 'neu': 0.93, 'pos': 0.03, 'compound': -0.3097}","{'neg': 0.046, 'neu': 0.8, 'pos': 0.153, 'compound': 0.9999}",-0.3097,0.9999,1.3096
60,6aaa404dc89e3429e0b92408fb4f66c8f94131e7,I used Skype to give the lectures. Students could give feedback either via the chat or by talking directly. Only one student was comfortable with asking questions using his voice. These lectures were  also recorded and remained available on Skype for 30 days. So students that were unable to attend the lecture in real time could use the recordings.,"A key observation is that students that attend remotely and don't turn on their cameras tend to be much less engaged. Presumably this is because they feel they can ""multitask"" while the lecture is running in the background.","{'neg': 0.0, 'neu': 0.937, 'pos': 0.063, 'compound': 0.3415}","{'neg': 0.0, 'neu': 0.945, 'pos': 0.055, 'compound': 0.5106}","{'neg': 0.0, 'neu': 0.937, 'pos': 0.063, 'compound': 0.3415}",0.5106,0.3415,-0.16910000000000003
